0	225	72	2	13
1	81	21	0	9
2	299	84	6	38
3	57	14	0	2
4	145	35	1	10
5	481	161	39	126
6	277	73	8	47
7	87	21	3	17
8	455	126	5	41
10	32	4	1	5
26	371	109	11	50
29	431	121	14	61
31	101	22	0	12
36	45	9	1	2
38	78	12	3	8
41	306	89	6	36
46	81	18	2	7
49	53	13	2	4
52	65	13	0	5
53	11	1	0	2
54	8	2	1	2
56	82	19	1	2
58	43	8	0	1
61	445	115	2	30
63	72	12	2	4
